
BUSES AND NODES IN ACTIVE CIRCUIT: grid_model

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  10.000          (           NA,            NA )     No           3          1    2    3 
"1573"        0.400          ( 154.594001   , 50.754       )     No           3          1    2    3 
"1574"        0.400          ( 140.826999   , 54.309       )     No           3          1    2    3 
"1575"        0.400          ( 146.503001   , 75.993001    )     No           3          1    2    3 
"1576"        0.400          ( 164.902999   , 60.282       )     No           3          1    2    3 
"1577"        0.400          ( 166.426999   , 85.603       )     No           3          1    2    3 
"1578"        0.400          ( 148.241999   , 92.246       )     No           3          1    2    3 
"1579"        0.400          ( 149.192      , 96.168001    )     No           3          1    2    3 
"1580"        0.400          ( 212.82       , 83.22        )     No           3          1    2    3 
"1581"        0.400          ( 211.996      , 86.811       )     No           3          1    2    3 
"1582"        0.400          ( 211.829      , 89.321       )     No           3          1    2    3 
"1583"        0.400          ( 211.664001   , 90.004001    )     No           3          1    2    3 
"1584"        0.400          ( 186.412      , 127.278      )     No           3          1    2    3 
"1585"        0.400          ( 186.412      , 127.278      )     No           3          1    2    3 
"1586"        0.400          ( 183.000001   , 125.261      )     No           3          1    2    3 
"1587"        0.400          ( 197.153      , 137.629      )     No           3          1    2    3 
"1588"        0.400          ( 208.521      , 123.309001   )     No           3          1    2    3 
"1589"        0.400          ( 212.083      , 117.132001   )     No           3          1    2    3 
"1590"        0.400          ( 212.083      , 117.132001   )     No           3          1    2    3 
"1591"        0.400          ( 77.068999    , 81.068       )     No           3          1    2    3 
"1592"        0.400          ( 77.035       , 81.371       )     No           3          1    2    3 
"1593"        0.400          ( 77.348999    , 84.594001    )     No           3          1    2    3 
"1594"        0.400          ( 77.113       , 84.865       )     No           3          1    2    3 
"1595"        0.400          ( 154.493999   , 50.604       )     No           3          1    2    3 
"1596"        0.400          ( 140.465999   , 54.355       )     No           3          1    2    3 
"1597"        0.400          ( 146.503001   , 76.205       )     No           3          1    2    3 
"1598"        0.400          ( 164.97       , 60.207       )     No           3          1    2    3 
"1599"        0.400          ( 166.476001   , 85.848       )     No           3          1    2    3 
"1600"        0.400          ( 148.361001   , 92.183999    )     No           3          1    2    3 
"1601"        0.400          ( 149.264999   , 96.259       )     No           3          1    2    3 
"1602"        0.400          ( 212.441999   , 81.946       )     No           3          1    2    3 
"1603"        0.400          ( 211.915      , 86.721       )     No           3          1    2    3 
"1604"        0.400          ( 212.009001   , 89.343       )     No           3          1    2    3 
"1605"        0.400          ( 211.769001   , 90.004001    )     No           3          1    2    3 
"1606"        0.400          ( 186.453999   , 127.476999   )     No           3          1    2    3 
"1607"        0.400          ( 186.453999   , 127.476999   )     No           3          1    2    3 
"1608"        0.400          ( 196.776999   , 138.034      )     No           3          1    2    3 
"1609"        0.400          ( 196.562001   , 137.998      )     No           3          1    2    3 
"1610"        0.400          ( 209.477      , 123.309001   )     No           3          1    2    3 
"1611"        0.400          ( 212.226      , 117.008      )     No           3          1    2    3 
"1612"        0.400          ( 212.226      , 117.008      )     No           3          1    2    3 
"1613"        0.400          ( 77.035       , 81.099       )     No           3          1    2    3 
"1614"        0.400          ( 76.806       , 81.464001    )     No           3          1    2    3 
"1615"        0.400          ( 77.285       , 84.572       )     No           3          1    2    3 
"1616"        0.400          ( 76.683999    , 84.937       )     No           3          1    2    3 
"1617"        0.400          ( 154.444      , 50.454       )     No           3          1    2    3 
"1618"        0.400          ( 135          , 56.261       )     No           3          1    2    3 
"1619"        0.400          ( 146.453      , 76.355001    )     No           3          1    2    3 
"1620"        0.400          ( 165.137      , 60.14        )     No           3          1    2    3 
"1621"        0.400          ( 167.048      , 88.460999    )     No           3          1    2    3 
"1622"        0.400          ( 148.492      , 92.07        )     No           3          1    2    3 
"1623"        0.400          ( 149.331      , 96.435       )     No           3          1    2    3 
"1624"        0.400          ( 211.974001   , 80.995       )     No           3          1    2    3 
"1625"        0.400          ( 211.841      , 86.599       )     No           3          1    2    3 
"1626"        0.400          ( 212.19       , 89.403       )     No           3          1    2    3 
"1627"        0.400          ( 211.881999   , 89.959       )     No           3          1    2    3 
"1628"        0.400          ( 186.547999   , 127.618      )     No           3          1    2    3 
"1629"        0.400          ( 186.547999   , 127.618      )     No           3          1    2    3 
"1630"        0.400          ( 196.67       , 138.32       )     No           3          1    2    3 
"1631"        0.400          ( 195.667      , 138.392      )     No           3          1    2    3 
"1632"        0.400          ( 211.326999   , 123.96       )     No           3          1    2    3 
"1633"        0.400          ( 212.297001   , 116.866001   )     No           3          1    2    3 
"1634"        0.400          ( 212.297001   , 116.866001   )     No           3          1    2    3 
"1635"        0.400          ( 76.648       , 81.228       )     No           3          1    2    3 
"1636"        0.400          ( 76.726999    , 81.536       )     No           3          1    2    3 
"1637"        0.400          ( 77.221       , 84.522       )     No           3          1    2    3 
"1638"        0.400          ( 76.477001    , 84.937       )     No           3          1    2    3 
"1639"        0.400          ( 154.333001   , 50.289       )     No           3          1    2    3 
"1640"        0.400          ( 146.353      , 76.48        )     No           3          1    2    3 
"1641"        0.400          ( 167.790001   , 59.479       )     No           3          1    2    3 
"1642"        0.400          ( 167.113999   , 88.576       )     No           3          1    2    3 
"1643"        0.400          ( 148.554      , 91.968       )     No           3          1    2    3 
"1644"        0.400          ( 149.417      , 96.804999    )     No           3          1    2    3 
"1645"        0.400          ( 211.414001   , 79.924       )     No           3          1    2    3 
"1646"        0.400          ( 211.808      , 86.419       )     No           3          1    2    3 
"1647"        0.400          ( 212.531001   , 89.494001    )     No           3          1    2    3 
"1648"        0.400          ( 212.024      , 89.846       )     No           3          1    2    3 
"1649"        0.400          ( 186.689      , 127.641      )     No           3          1    2    3 
"1650"        0.400          ( 186.689      , 127.641      )     No           3          1    2    3 
"1651"        0.400          ( 196.665      , 138.618      )     No           3          1    2    3 
"1652"        0.400          ( 193.627001   , 138.928      )     No           3          1    2    3 
"1653"        0.400          ( 211.388999   , 124.005      )     No           3          1    2    3 
"1654"        0.400          ( 212.3029995  , 116.6675     )     No           3          1    2    3 
"1655"        0.400          ( 212.3029995  , 116.6675     )     No           3          1    2    3 
"1656"        0.400          ( 76.333999    , 81.293       )     No           3          1    2    3 
"1657"        0.400          ( 76.706001    , 81.629       )     No           3          1    2    3 
"1658"        0.400          ( 77.108999    , 84.332999    )     No           3          1    2    3 
"1659"        0.400          ( 76.348001    , 84.887       )     No           3          1    2    3 
"1660"        0.400          ( 154.146      , 50.039       )     No           3          1    2    3 
"1661"        0.400          ( 146.278      , 76.555       )     No           3          1    2    3 
"1662"        0.400          ( 167.966      , 59.454001    )     No           3          1    2    3 
"1663"        0.400          ( 167.277      , 88.625       )     No           3          1    2    3 
"1664"        0.400          ( 148.582001   , 91.837       )     No           3          1    2    3 
"1665"        0.400          ( 151.429      , 105.455      )     No           3          1    2    3 
"1666"        0.400          ( 211.153      , 79.447       )     No           3          1    2    3 
"1667"        0.400          ( 211.808      , 86.215       )     No           3          1    2    3 
"1668"        0.400          ( 217.884001   , 90.747       )     No           3          1    2    3 
"1669"        0.400          ( 212.130001   , 89.771       )     No           3          1    2    3 
"1670"        0.400          ( 186.970999   , 127.618      )     No           3          1    2    3 
"1671"        0.400          ( 186.970999   , 127.618      )     No           3          1    2    3 
"1672"        0.400          ( 197.842      , 144.488      )     No           3          1    2    3 
"1673"        0.400          ( 191.608001   , 139.42       )     No           3          1    2    3 
"1674"        0.400          ( 211.442999   , 124.061      )     No           3          1    2    3 
"1675"        0.400          ( 212.219001   , 116.804      )     No           3          1    2    3 
"1676"        0.400          ( 214          , 113.261001   )     No           3          1    2    3 
"1677"        0.400          ( 218          , 120.261      )     No           3          1    2    3 
"1678"        0.400          ( 75.99        , 81.371       )     No           3          1    2    3 
"1679"        0.400          ( 76.714001    , 81.735       )     No           3          1    2    3 
"1680"        0.400          ( 68           , 87.261       )     No           3          1    2    3 
"1681"        0.400          ( 76.241       , 84.787       )     No           3          1    2    3 
"1682"        0.400          ( 153.898      , 49.683       )     No           3          1    2    3 
"1683"        0.400          ( 146.090999   , 76.642999    )     No           3          1    2    3 
"1684"        0.400          ( 168.166      , 59.454001    )     No           3          1    2    3 
"1685"        0.400          ( 167.506      , 88.608       )     No           3          1    2    3 
"1686"        0.400          ( 148.594      , 91.684       )     No           3          1    2    3 
"1687"        0.400          ( 151.556      , 106.116001   )     No           3          1    2    3 
"1688"        0.400          ( 210.836999   , 79.013       )     No           3          1    2    3 
"1689"        0.400          ( 211.816999   , 86.085001    )     No           3          1    2    3 
"1690"        0.400          ( 218.156001   , 90.765       )     No           3          1    2    3 
"1691"        0.400          ( 212.235001   , 89.726       )     No           3          1    2    3 
"1692"        0.400          ( 188.588999   , 127.266      )     No           3          1    2    3 
"1693"        0.400          ( 188.588999   , 127.266      )     No           3          1    2    3 
"1694"        0.400          ( 197.866      , 144.729      )     No           3          1    2    3 
"1695"        0.400          ( 189.976001   , 139.858      )     No           3          1    2    3 
"1696"        0.400          ( 211.485999   , 124.125      )     No           3          1    2    3 
"1697"        0.400          ( 212.144      , 116.912      )     No           3          1    2    3 
"1698"        0.400          ( 75.811       , 81.464001    )     No           3          1    2    3 
"1699"        0.400          ( 65.999999    , 80.261001    )     No           3          1    2    3 
"1700"        0.400          ( 76.143001    , 84.557       )     No           3          1    2    3 
"1701"        0.400          ( 76.143001    , 84.557       )     No           3          1    2    3 
"1702"        0.400          ( 153.362999   , 49.178       )     No           3          1    2    3 
"1703"        0.400          ( 145.915999   , 76.655       )     No           3          1    2    3 
"1704"        0.400          ( 168.342001   , 59.496       )     No           3          1    2    3 
"1705"        0.400          ( 167.653001   , 88.527       )     No           3          1    2    3 
"1706"        0.400          ( 148.554      , 91.474       )     No           3          1    2    3 
"1707"        0.400          ( 151.556      , 106.498      )     No           3          1    2    3 
"1708"        0.400          ( 210.604      , 78.778999    )     No           3          1    2    3 
"1709"        0.400          ( 211.841      , 85.856       )     No           3          1    2    3 
"1710"        0.400          ( 218.426      , 90.765       )     No           3          1    2    3 
"1711"        0.400          ( 212.332001   , 89.711       )     No           3          1    2    3 
"1712"        0.400          ( 189.269999   , 127.079      )     No           3          1    2    3 
"1713"        0.400          ( 189.269999   , 127.079      )     No           3          1    2    3 
"1714"        0.400          ( 197.834      , 144.894      )     No           3          1    2    3 
"1715"        0.400          ( 187.864      , 140.323      )     No           3          1    2    3 
"1716"        0.400          ( 211.517      , 124.196      )     No           3          1    2    3 
"1717"        0.400          ( 212.069      , 116.977      )     No           3          1    2    3 
"1718"        0.400          ( 75.733       , 81.557       )     No           3          1    2    3 
"1719"        0.400          ( 75.627       , 81.988       )     No           3          1    2    3 
"1720"        0.400          ( 152.650001   , 48.614       )     No           3          1    2    3 
"1721"        0.400          ( 145.728001   , 76.618       )     No           3          1    2    3 
"1722"        0.400          ( 168.467999   , 59.596       )     No           3          1    2    3 
"1723"        0.400          ( 167.762      , 88.351       )     No           3          1    2    3 
"1724"        0.400          ( 148.247      , 90.162       )     No           3          1    2    3 
"1725"        0.400          ( 151.505      , 106.65       )     No           3          1    2    3 
"1726"        0.400          ( 210.375      , 78.494       )     No           3          1    2    3 
"1727"        0.400          ( 218.661      , 90.711       )     No           3          1    2    3 
"1728"        0.400          ( 212.461001   , 89.733999    )     No           3          1    2    3 
"1729"        0.400          ( 189.387      , 126.961      )     No           3          1    2    3 
"1730"        0.400          ( 189.387      , 126.961      )     No           3          1    2    3 
"1731"        0.400          ( 197.77       , 144.986      )     No           3          1    2    3 
"1732"        0.400          ( 185.609001   , 140.931      )     No           3          1    2    3 
"1733"        0.400          ( 211.535001   , 124.271      )     No           3          1    2    3 
"1734"        0.400          ( 211.959      , 117.037      )     No           3          1    2    3 
"1735"        0.400          ( 75.633       , 81.722       )     No           3          1    2    3 
"1736"        0.400          ( 75.611       , 81.829       )     No           3          1    2    3 
"1737"        0.400          ( 145.518001   , 43.993       )     No           3          1    2    3 
"1738"        0.400          ( 145.553001   , 76.542999    )     No           3          1    2    3 
"1739"        0.400          ( 168.518      , 59.763       )     No           3          1    2    3 
"1740"        0.400          ( 173.000001   , 88.261       )     No           3          1    2    3 
"1741"        0.400          ( 147.514999   , 87.405       )     No           3          1    2    3 
"1742"        0.400          ( 151.402999   , 106.778      )     No           3          1    2    3 
"1743"        0.400          ( 210.125      , 78.194       )     No           3          1    2    3 
"1744"        0.400          ( 218.767001   , 90.635       )     No           3          1    2    3 
"1745"        0.400          ( 217.817      , 90.989       )     No           3          1    2    3 
"1746"        0.400          ( 189.387      , 126.75       )     No           3          1    2    3 
"1747"        0.400          ( 189.387      , 126.75       )     No           3          1    2    3 
"1748"        0.400          ( 197.594      , 145.082      )     No           3          1    2    3 
"1749"        0.400          ( 184.641999   , 141.218      )     No           3          1    2    3 
"1750"        0.400          ( 211.539      , 124.348      )     No           3          1    2    3 
"1751"        0.400          ( 211.533      , 117.192      )     No           3          1    2    3 
"1752"        0.400          ( 75.611       , 81.829       )     No           3          1    2    3 
"1753"        0.400          ( 145.344      , 43.819       )     No           3          1    2    3 
"1754"        0.400          ( 145.416      , 76.405       )     No           3          1    2    3 
"1755"        0.400          ( 168.518      , 59.914       )     No           3          1    2    3 
"1756"        0.400          ( 146.725      , 83.978       )     No           3          1    2    3 
"1757"        0.400          ( 151.173999   , 106.879001   )     No           3          1    2    3 
"1758"        0.400          ( 209.953999   , 77.979       )     No           3          1    2    3 
"1759"        0.400          ( 218.863      , 90.635       )     No           3          1    2    3 
"1760"        0.400          ( 218.841      , 90.53        )     No           3          1    2    3 
"1761"        0.400          ( 218.334      , 90.985001    )     No           3          1    2    3 
"1762"        0.400          ( 188.351      , 122.253      )     No           3          1    2    3 
"1763"        0.400          ( 188.351      , 122.253      )     No           3          1    2    3 
"1764"        0.400          ( 197.449999   , 145.114      )     No           3          1    2    3 
"1765"        0.400          ( 183.281999   , 141.574999   )     No           3          1    2    3 
"1766"        0.400          ( 211.53       , 124.425001   )     No           3          1    2    3 
"1767"        0.400          ( 211.323      , 117.269      )     No           3          1    2    3 
"1768"        0.400          ( 144.999      , 43.474       )     No           3          1    2    3 
"1769"        0.400          ( 145.290999   , 76.167999    )     No           3          1    2    3 
"1770"        0.400          ( 168.493001   , 60.039       )     No           3          1    2    3 
"1771"        0.400          ( 146.52       , 83.13        )     No           3          1    2    3 
"1772"        0.400          ( 150.538      , 107.057999   )     No           3          1    2    3 
"1773"        0.400          ( 209.711      , 77.736       )     No           3          1    2    3 
"1774"        0.400          ( 218.93       , 90.653999    )     No           3          1    2    3 
"1775"        0.400          ( 218.896001   , 90.26        )     No           3          1    2    3 
"1776"        0.400          ( 219.525      , 91.049       )     No           3          1    2    3 
"1777"        0.400          ( 187.455      , 117.682      )     No           3          1    2    3 
"1778"        0.400          ( 187.455      , 117.682      )     No           3          1    2    3 
"1779"        0.400          ( 197.177999   , 145.146      )     No           3          1    2    3 
"1780"        0.400          ( 182.638      , 141.718      )     No           3          1    2    3 
"1781"        0.400          ( 211.508001   , 124.499      )     No           3          1    2    3 
"1782"        0.400          ( 211.069001   , 117.323999   )     No           3          1    2    3 
"1783"        0.400          ( 144.38       , 42.457001    )     No           3          1    2    3 
"1784"        0.400          ( 145.128      , 75.59        )     No           3          1    2    3 
"1785"        0.400          ( 168.451      , 60.106       )     No           3          1    2    3 
"1786"        0.400          ( 146.460001   , 82.913       )     No           3          1    2    3 
"1787"        0.400          ( 149.442999   , 107.287      )     No           3          1    2    3 
"1788"        0.400          ( 208.674999   , 76.494       )     No           3          1    2    3 
"1789"        0.400          ( 218.97       , 90.691       )     No           3          1    2    3 
"1790"        0.400          ( 218.896001   , 90.098       )     No           3          1    2    3 
"1791"        0.400          ( 230.122      , 91.389       )     No           3          1    2    3 
"1792"        0.400          ( 187.284      , 117.397      )     No           3          1    2    3 
"1793"        0.400          ( 187.284      , 117.397      )     No           3          1    2    3 
"1794"        0.400          ( 197.017001   , 145.226      )     No           3          1    2    3 
"1795"        0.400          ( 182.352      , 141.826      )     No           3          1    2    3 
"1796"        0.400          ( 211.473001   , 124.567      )     No           3          1    2    3 
"1797"        0.400          ( 209.014      , 117.81       )     No           3          1    2    3 
"1798"        0.400          ( 144.001      , 41.426       )     No           3          1    2    3 
"1799"        0.400          ( 145.053      , 75.319       )     No           3          1    2    3 
"1800"        0.400          ( 168.376      , 60.173       )     No           3          1    2    3 
"1801"        0.400          ( 146.416      , 82.783       )     No           3          1    2    3 
"1802"        0.400          ( 149.264999   , 107.287      )     No           3          1    2    3 
"1803"        0.400          ( 208.427      , 76.183       )     No           3          1    2    3 
"1804"        0.400          ( 218.989      , 90.744       )     No           3          1    2    3 
"1805"        0.400          ( 218.914      , 89.972       )     No           3          1    2    3 
"1806"        0.400          ( 230.351      , 91.407999    )     No           3          1    2    3 
"1807"        0.400          ( 187.055001   , 117.283      )     No           3          1    2    3 
"1808"        0.400          ( 187.055001   , 117.283      )     No           3          1    2    3 
"1809"        0.400          ( 196.841      , 145.37       )     No           3          1    2    3 
"1810"        0.400          ( 182.101      , 141.969      )     No           3          1    2    3 
"1811"        0.400          ( 211.426      , 124.629      )     No           3          1    2    3 
"1812"        0.400          ( 208.892      , 117.820999   )     No           3          1    2    3 
"1813"        0.400          ( 143.501001   , 40.621999    )     No           3          1    2    3 
"1814"        0.400          ( 140          , 77.261       )     No           3          1    2    3 
"1815"        0.400          ( 168.271      , 60.229       )     No           3          1    2    3 
"1816"        0.400          ( 146.33       , 82.684999    )     No           3          1    2    3 
"1817"        0.400          ( 149.061001   , 107.21       )     No           3          1    2    3 
"1818"        0.400          ( 208.051001   , 75.557       )     No           3          1    2    3 
"1819"        0.400          ( 218.992      , 90.82        )     No           3          1    2    3 
"1820"        0.400          ( 218.986      , 89.881       )     No           3          1    2    3 
"1821"        0.400          ( 230.471001   , 91.427       )     No           3          1    2    3 
"1822"        0.400          ( 186.884      , 117.310999   )     No           3          1    2    3 
"1823"        0.400          ( 186.884      , 117.310999   )     No           3          1    2    3 
"1824"        0.400          ( 196.738999   , 145.513      )     No           3          1    2    3 
"1825"        0.400          ( 182.064999   , 142.112      )     No           3          1    2    3 
"1826"        0.400          ( 211.46053506 , 124.6111209  )     No           3          1    2    3 
"1827"        0.400          ( 208.759001   , 117.832      )     No           3          1    2    3 
"1828"        0.400          ( 143.266      , 40.22        )     No           3          1    2    3 
"1829"        0.400          ( 169.999999   , 66.261       )     No           3          1    2    3 
"1830"        0.400          ( 146.205      , 82.62        )     No           3          1    2    3 
"1831"        0.400          ( 148.908      , 107.134      )     No           3          1    2    3 
"1832"        0.400          ( 207.937      , 75.271       )     No           3          1    2    3 
"1833"        0.400          ( 218.981      , 90.884       )     No           3          1    2    3 
"1834"        0.400          ( 219.075999   , 89.827       )     No           3          1    2    3 
"1835"        0.400          ( 230.535      , 91.446       )     No           3          1    2    3 
"1836"        0.400          ( 186.399      , 117.397      )     No           3          1    2    3 
"1837"        0.400          ( 186.399      , 117.397      )     No           3          1    2    3 
"1838"        0.400          ( 196.713001   , 145.562      )     No           3          1    2    3 
"1839"        0.400          ( 211.422001   , 124.446      )     No           3          1    2    3 
"1840"        0.400          ( 216          , 122.261      )     No           3          1    2    3 
"1841"        0.400          ( 208.627001   , 117.799001   )     No           3          1    2    3 
"1842"        0.400          ( 143.042      , 39.635       )     No           3          1    2    3 
"1843"        0.400          ( 146.052999   , 82.597999    )     No           3          1    2    3 
"1844"        0.400          ( 148.832001   , 107.031999   )     No           3          1    2    3 
"1845"        0.400          ( 207.796999   , 74.992       )     No           3          1    2    3 
"1846"        0.400          ( 218.927999   , 90.963001    )     No           3          1    2    3 
"1847"        0.400          ( 219.256      , 89.863       )     No           3          1    2    3 
"1848"        0.400          ( 230.572999   , 91.51        )     No           3          1    2    3 
"1849"        0.400          ( 185.172      , 117.653      )     No           3          1    2    3 
"1850"        0.400          ( 185.172      , 117.653      )     No           3          1    2    3 
"1851"        0.400          ( 204.377      , 143.806999   )     No           3          1    2    3 
"1852"        0.400          ( 195.688      , 145.77       )     No           3          1    2    3 
"1853"        0.400          ( 211.391      , 124.34       )     No           3          1    2    3 
"1854"        0.400          ( 208.560001   , 117.71       )     No           3          1    2    3 
"1855"        0.400          ( 142.837      , 39.004999    )     No           3          1    2    3 
"1856"        0.400          ( 145.917      , 82.597999    )     No           3          1    2    3 
"1857"        0.400          ( 148.719001   , 106.729      )     No           3          1    2    3 
"1858"        0.400          ( 207.554999   , 74.458       )     No           3          1    2    3 
"1859"        0.400          ( 218.849      , 91.036       )     No           3          1    2    3 
"1860"        0.400          ( 219.419      , 89.99        )     No           3          1    2    3 
"1861"        0.400          ( 230.59       , 91.5774995   )     No           3          1    2    3 
"1862"        0.400          ( 184.544      , 117.824      )     No           3          1    2    3 
"1863"        0.400          ( 184.544      , 117.824      )     No           3          1    2    3 
"1864"        0.400          ( 204.741      , 143.873      )     No           3          1    2    3 
"1865"        0.400          ( 211.174001   , 142.150001   )     No           3          1    2    3 
"1866"        0.400          ( 195.276999   , 145.781      )     No           3          1    2    3 
"1867"        0.400          ( 211.34       , 124.242001   )     No           3          1    2    3 
"1868"        0.400          ( 208.515999   , 117.567      )     No           3          1    2    3 
"1869"        0.400          ( 142.586      , 37.463       )     No           3          1    2    3 
"1870"        0.400          ( 145.77       , 82.615001    )     No           3          1    2    3 
"1871"        0.400          ( 144          , 104.261      )     No           3          1    2    3 
"1872"        0.400          ( 207.228999   , 73.861999    )     No           3          1    2    3 
"1873"        0.400          ( 218.803999   , 91.092       )     No           3          1    2    3 
"1874"        0.400          ( 219.545001   , 90.08        )     No           3          1    2    3 
"1875"        0.400          ( 229.272      , 91.644       )     No           3          1    2    3 
"1876"        0.400          ( 233          , 94.261       )     No           3          1    2    3 
"1877"        0.400          ( 184.259      , 118.024      )     No           3          1    2    3 
"1878"        0.400          ( 184.259      , 118.024      )     No           3          1    2    3 
"1879"        0.400          ( 205.039999   , 143.972      )     No           3          1    2    3 
"1880"        0.400          ( 212.699      , 141.718999   )     No           3          1    2    3 
"1881"        0.400          ( 194.548001   , 145.781      )     No           3          1    2    3 
"1882"        0.400          ( 211.271001   , 124.156      )     No           3          1    2    3 
"1883"        0.400          ( 207.632      , 113.515      )     No           3          1    2    3 
"1884"        0.400          ( 142.579999   , 37.216       )     No           3          1    2    3 
"1885"        0.400          ( 142.611      , 37.264       )     No           3          1    2    3 
"1886"        0.400          ( 142.498      , 37.625       )     No           3          1    2    3 
"1887"        0.400          ( 142.522999   , 37.208       )     No           3          1    2    3 
"1888"        0.400          ( 144.912001   , 82.826       )     No           3          1    2    3 
"1889"        0.400          ( 206.994      , 73.157       )     No           3          1    2    3 
"1890"        0.400          ( 218.773      , 91.145       )     No           3          1    2    3 
"1891"        0.400          ( 219.721      , 90.151       )     No           3          1    2    3 
"1892"        0.400          ( 228.813      , 91.644       )     No           3          1    2    3 
"1893"        0.400          ( 184.231      , 118.309001   )     No           3          1    2    3 
"1894"        0.400          ( 184.231      , 118.309001   )     No           3          1    2    3 
"1895"        0.400          ( 205.173      , 144.138001   )     No           3          1    2    3 
"1896"        0.400          ( 213.76       , 141.321999   )     No           3          1    2    3 
"1897"        0.400          ( 193.359      , 145.732      )     No           3          1    2    3 
"1898"        0.400          ( 211.186999   , 124.084      )     No           3          1    2    3 
"1899"        0.400          ( 206.7        , 109.213      )     No           3          1    2    3 
"1900"        0.400          ( 142.607001   , 37.028       )     No           3          1    2    3 
"1901"        0.400          ( 142.630999   , 37.199       )     No           3          1    2    3 
"1902"        0.400          ( 142.427001   , 37.698       )     No           3          1    2    3 
"1903"        0.400          ( 142.427001   , 37.081       )     No           3          1    2    3 
"1904"        0.400          ( 144.445      , 82.918       )     No           3          1    2    3 
"1905"        0.400          ( 206.806      , 72.497001    )     No           3          1    2    3 
"1906"        0.400          ( 218.752999   , 91.21        )     No           3          1    2    3 
"1907"        0.400          ( 227.484      , 88.079       )     No           3          1    2    3 
"1908"        0.400          ( 228.574999   , 91.675       )     No           3          1    2    3 
"1909"        0.400          ( 184.288      , 118.651      )     No           3          1    2    3 
"1910"        0.400          ( 184.288      , 118.651      )     No           3          1    2    3 
"1911"        0.400          ( 205.139      , 144.337      )     No           3          1    2    3 
"1912"        0.400          ( 214.589      , 140.891      )     No           3          1    2    3 
"1913"        0.400          ( 191.951      , 145.854      )     No           3          1    2    3 
"1914"        0.400          ( 211.091      , 124.03       )     No           3          1    2    3 
"1915"        0.400          ( 206.682      , 108.866999   )     No           3          1    2    3 
"1916"        0.400          ( 142.735      , 36.615       )     No           3          1    2    3 
"1917"        0.400          ( 142.683      , 37.098       )     No           3          1    2    3 
"1918"        0.400          ( 142.36       , 37.779999    )     No           3          1    2    3 
"1919"        0.400          ( 142.342      , 36.997       )     No           3          1    2    3 
"1920"        0.400          ( 144.321      , 82.989       )     No           3          1    2    3 
"1921"        0.400          ( 206.658      , 72.152999    )     No           3          1    2    3 
"1922"        0.400          ( 218.751001   , 91.28        )     No           3          1    2    3 
"1923"        0.400          ( 229.072      , 87.645999    )     No           3          1    2    3 
"1924"        0.400          ( 228.464      , 91.786       )     No           3          1    2    3 
"1925"        0.400          ( 181          , 122.261      )     No           3          1    2    3 
"1926"        0.400          ( 205.073001   , 144.436      )     No           3          1    2    3 
"1927"        0.400          ( 215.252      , 140.56       )     No           3          1    2    3 
"1928"        0.400          ( 190.688999   , 146.145      )     No           3          1    2    3 
"1929"        0.400          ( 210.986      , 123.995      )     No           3          1    2    3 
"1930"        0.400          ( 206.719      , 108.667      )     No           3          1    2    3 
"1931"        0.400          ( 142.776      , 36.343       )     No           3          1    2    3 
"1932"        0.400          ( 142.851      , 36.435       )     No           3          1    2    3 
"1933"        0.400          ( 142.797999   , 36.997       )     No           3          1    2    3 
"1934"        0.400          ( 142.306      , 37.885       )     No           3          1    2    3 
"1935"        0.400          ( 142.226      , 36.922       )     No           3          1    2    3 
"1936"        0.400          ( 144.272      , 83.059       )     No           3          1    2    3 
"1937"        0.400          ( 206.474999   , 71.543       )     No           3          1    2    3 
"1938"        0.400          ( 218.741999   , 91.426       )     No           3          1    2    3 
"1939"        0.400          ( 229.36       , 87.52        )     No           3          1    2    3 
"1940"        0.400          ( 228.442      , 91.919       )     No           3          1    2    3 
"1941"        0.400          ( 205.056      , 144.589      )     No           3          1    2    3 
"1942"        0.400          ( 216.612      , 140.162      )     No           3          1    2    3 
"1943"        0.400          ( 189.256999   , 146.727      )     No           3          1    2    3 
"1944"        0.400          ( 210.877      , 123.980999   )     No           3          1    2    3 
"1945"        0.400          ( 206.846      , 108.539      )     No           3          1    2    3 
"1946"        0.400          ( 142.786999   , 36.177       )     No           3          1    2    3 
"1947"        0.400          ( 142.947      , 36.332       )     No           3          1    2    3 
"1948"        0.400          ( 142.947      , 36.922       )     No           3          1    2    3 
"1949"        0.400          ( 142.242      , 38.217       )     No           3          1    2    3 
"1950"        0.400          ( 142.174      , 37.980001    )     No           3          1    2    3 
"1951"        0.400          ( 142.077001   , 36.88        )     No           3          1    2    3 
"1952"        0.400          ( 144.25       , 83.163       )     No           3          1    2    3 
"1953"        0.400          ( 205.593      , 66.565       )     No           3          1    2    3 
"1954"        0.400          ( 218.552      , 93.387001    )     No           3          1    2    3 
"1955"        0.400          ( 229.487      , 87.357       )     No           3          1    2    3 
"1956"        0.400          ( 228.48       , 92.134       )     No           3          1    2    3 
"1957"        0.400          ( 206.38       , 150.371      )     No           3          1    2    3 
"1958"        0.400          ( 222.885      , 138.658      )     No           3          1    2    3 
"1959"        0.400          ( 187.849001   , 147.503      )     No           3          1    2    3 
"1960"        0.400          ( 210.766999   , 123.988      )     No           3          1    2    3 
"1961"        0.400          ( 209.977999   , 107.794      )     No           3          1    2    3 
"1962"        0.400          ( 142.777001   , 35.958       )     No           3          1    2    3 
